English,Sanskrit,,
I,अहम्,,
me,माम्,,
you,त्वम्,,
go,गच्छ,,
went,अगच्छत्,,
he,सः,,
she,सा,,
it,तत्,,
we,वयम्,,
they,ते,,
this,एतत्,,
that,तत्,,
who,कः,,
what,किम्,,
where,कुत्र,,
when,कदा,,
why,किमर्थम्,,
how,कथम्,,
which,कतमः,,
come,आगच्छ,,
sit,उपविश,,
stand,तिष्ठ,,
speak,वद,,
listen,शृणु,,
eat,अश,,
drink,पिब,,
sleep,स्वप,,
walk,चर,,
run,धाव,,
help,सहायम् कर,,
please,कृपया,,
thank you,धन्यवादः,,
sorry,क्षम्यताम्,,
yes,आम्,,
no,न,,
do,कुरु,,
doing,करोति,,
done,कृतम्,,
think,मन्ये,,
thinking,चिन्तयति,,
thought,चिन्तितम्,,
give,ददातु,,
giving,ददाति,,
given,दत्तम्,,
read,पठ,,
reading,पठति,,
read (past),पठितम्,,
write,लिख,,
writing,लिखति,,
written,लिखितम्,,
see,पश्य,,
seeing,पश्यति,,
seen,दृष्टम्,,
learn,जानीयात्,,
learning,जानाति,,
learned,ज्ञातम्,,
good,सुखम्,,
bad,दुःखम्,,
right,सम्यक्,,
wrong,असम्यक्,,
big,महत्,,
small,अल्पम्,,
long,दीर्घम्,,
short,ह्रस्वम्,,
hot,उष्णम्,,
cold,शीतम्,,
fast,शीघ्रम्,,
slow,मन्दम्,,
near,समीपम्,,
far,दूरम्,,
old,वृद्धम्,,
young,युवा,,
happy,प्रसन्नम्,,
sad,दुःखितम्,,
rich,धनिकम्,,
poor,दरिद्रम्,,
full,पूर्णम्,,
empty,शून्यम्,,
heavy,गुरु,,
light,लघु,,
hard,कठोरम्,,
soft,मृदु,,
round,वृत्ताकारः,,
square,चतुर्मुखः,,
sharp,तीक्ष्णम्,,
dull,मन्दम्,,
deep,गम्भीरम्,,
shallow,अगम्भीरम्,,
clean,शुद्धम्,,
dirty,अशुचिः,,
dry,शुष्कम्,,
wet,आर्द्रम्,,
strong,बलवान्,,
weak,दुर्बल,,
healthy,स्वस्थम्,,
sick,अस्वस्थम्,,
awake,जागरणम्,,
asleep,निद्रावस्था,,
beautiful,सुन्दरम्,,
ugly,विकृतम्,,
easy,सुलभम्,,
difficult,दुष्करम्,,
loud,उच्चस्वरम्,,
quiet,निःशब्दम्,,
tall,उन्नतम्,,
short (height),अवनतम्,,
straight,सरलम्,,
curved,वक्रम्,,
narrow,संकीर्णम्,,
wide,विस्तीर्णम्,,
smooth,स्निग्धम्,,
rough,खरम्,,
colorful,वर्णधर्मी,,
colorless,निर्वर्णम्,,
sweet,मधुरम्,,
sour,आम्लम्,,
bitter,तिक्तम्,,
salty,लवणम्,,
spicy,कटु,,
fresh,नूतनम्,,
stale,पुराणम्,,
day,दिवा,,
night,रात्रि,,
morning,प्रातः,,
afternoon,अपराह्णः,,
evening,सायं,,
midnight,मध्यरात्रि,,
today,अद्य,,
tomorrow,श्वः,,
yesterday,ह्यस्ति,,
week,सप्ताहः,,
month,मासः,,
year,वर्षम्,,
spring,वसन्तः,,
summer,ग्रीष्मः,,
autumn,शरदः,,
winter,हेमन्तः,,
north,उत्तरः,,
south,दक्षिणः,,
east,पूर्वः,,
west,पश्चिमः,,
up,उर्ध्वम्,,
down,अधः,,
left,वामः,,
right,दक्षिणः,,
above,उपरि,,
below,अधः,,
inside,अन्तः,,
outside,बहिः,,
near,समीपे,,
far,दूरे,,
beginning,आरम्भः,,
end,अन्तः,,
friend,मित्रम्,,
enemy,शत्रुः,,
peace,शान्तिः,,
war,युद्धम्,,
truth,सत्यम्,,
lie,असत्यम्,,
knowledge,ज्ञानम्,,
ignorance,अज्ञानम्,,
freedom,स्वतन्त्रता,,
slavery,दासत्वम्,,
love,प्रेम,,
hate,द्वेषः,,
joy,हर्षः,,
sorrow,शोकः,,
birth,जन्म,,
death,मृत्युः,,
marriage,विवाहः,,
divorce,विपरिणामः,,
parent,जनकः,,
child,शिशुः,,
brother,भ्राता,,
sister,भगिनी,,
husband,पतिः,,
wife,पत्नी,,
man,नरः,,
woman,नारी,,
boy,बालः,,
girl,बालिका,,
teacher,आचार्यः,,
student,छात्रः,,
leader,नेता,,
follower,अनुयायी,,
worker,श्रमिकः,,
employer,नियोक्ता,,
employee,कर्मचारी,,
job,कार्यम्,,
work,कार्यम्,,
business,व्यापारः,,
trade,वाणिज्यम्,,
money,धनम्,,
riches,ऐश्वर्यम्,,
poverty,दारिद्र्यम्,,
bank,बैंकः,,
market,अपणम्,,
shop,अपणि,,
shopping,आपणि,,
price,मूल्यम्,,
cost,व्ययः,,
value,मूल्यवत्,,
quality,गुणवत्ता,,
quantity,परिमाणम्,,
success,सफलता,,
failure,असफलता,,
win,विजयः,,
lose,पराजयः,,
competition,प्रतियोगिता,,
prize,पुरस्कारः,,
award,पुरस्कारः,,
goal,लक्ष्यम्,,
achievement,उपलब्धिः,,
skill,कौशलम्,,
talent,प्रतिभा,,
wisdom,प्रज्ञा,,
intelligence,बुद्धि,,
experience,अनुभवः,,
education,विद्या,,
lesson,पाठः,,
school,विद्यालयः,,
college,महाविद्यालयः,,
university,विश्वविद्यालयः,,
book,पुस्तकम्,,
library,पुस्तकालयः,,
language,भाषा,,
word,पदम्,,
sentence,वाक्यम्,,
grammar,व्याकरणम्,,
story,कथा,,
poem,काव्यम्,,
novel,उपन्यासः,,
fiction,कल्पितकथा,,
non-fiction,यथार्थवृत्तान्तः,,
drama,नाटकम्,,
comedy,हास्यम्,,
tragedy,त्रासदः,,
hero,वीरः,,
heroine,वीरङ्गना,,
villain,दुष्टात्मा,,
protagonist,मुख्यपात्रम्,,
antagonist,प्रतिपक्षी,,
setting,परिवेशः,,
plot,कथासारः,,
character,पात्रम्,,
dialogue,संवादः,,
conflict,संघर्षः,,
resolution,समाधानम्,,
theme,विषयः,,
author,लेखकः,,
poet,कविः,,
playwright,नाटककारः,,
critic,समालोचकः,,
review,समीक्षा,,
genre,विधा,,
fictional,कल्पित,,
realistic,यथार्थवादी,,
fantasy,कल्पना,,
mystery,रहस्यम्,,
adventure,साहसिक,,
science fiction,वैज्ञानिककथा,,
romance,प्रेमकथा,,
thriller,रोमाञ्चकथा,,
biography,जीवनी,,
autobiography,आत्मकथा,,
history,इतिहासः,,
philosophy,दर्शनम्,,
religion,धर्मः,,
mythology,पुराणविद्या,,
art,कला,,
music,संगीतम्,,
dance,नृत्यम्,,
painting,चित्रकला,,
sculpture,शिल्पकला,,
architecture,वास्तुकला,,
photography,छायाचित्रणम्,,
film,चलच्चित्रम्,,
theatre,नाट्यशाला,,
festival,उत्सवः,,
ceremony,कार्यक्रमः,,
ritual,विधि,,
tradition,परम्परा,,
culture,संस्कृतिः,,
custom,आचारः,,
belief,विश्वासः,,
faith,श्रद्धा,,
prayer,प्रार्थना,,
meditation,ध्यानम्,,
yoga,योगः,,
spirituality,आध्यात्मिकता,,
god,ईश्वरः,,
goddess,देवी,,
deity,देवता,,
temple,मन्दिरम्,,
church,गिर्जाघरम्,,
mosque,मस्जिद्,,
synagogue,यहूदीमन्दिरम्,,
monastery,मठः,,
priest,पुजारी,,
monk,भिक्षुः,,
nun,भिक्षुणी,,
saint,संतः,,
prophet,प्रवक्ता,,
scripture,शास्त्रम्,,
holy,पवित्रम्,,
sacred,पुण्यम्,,
blessing,आशीर्वादः,,
sin,पापम्,,
forgiveness,क्षमा,,
karma,कर्म,,
reincarnation,पुनर्जन्म,,
enlightenment,बोधि,,
salvation,मोक्षः,,
heaven,स्वर्गः,,
hell,नरकः,,
angel,देवदूतः,,
demon,असुरः,,
myth,कल्पितकथा,,
legend,आख्यानम्,,
fable,उपाख्यानम्,,
moral,नीतिः,,
parable,दृष्टान्तः,,
proverb,सूक्तिः,,
riddle,प्रहेलिका,,
earth,पृथ्वी,,
water,जलम्,,
fire,अग्निः,,
air,वायुः,,
sky,आकाशः,,
sun,सूर्यः,,
moon,चन्द्रमा,,
star,तारा,,
planet,ग्रहः,,
universe,ब्रह्माण्डः,,
mountain,पर्वतः,,
river,नदी,,
lake,सरोवरः,,
ocean,समुद्रः,,
sea,समुद्रः,,
forest,वनम्,,
tree,वृक्षः,,
flower,पुष्पम्,,
fruit,फलम्,,
leaf,पर्णम्,,
animal,पशु,,
bird,पक्षिणः,,
fish,मत्स्यः,,
insect,कीटः,,
reptile,सरीसृपः,,
mammal,स्तन्यपायी,,
human,मानवः,,
man,पुरुषः,,
woman,स्त्री,,
child,बालः,,
family,कुटुम्बः,,
mother,माता,,
father,पिता,,
sister,स्वसा,,
brother,भ्राता,,
son,पुत्रः,,
daughter,दुहिता,,
wife,पत्नी,,
husband,पतिः,,
friend,मित्रम्,,
enemy,शत्रुः,,
love,प्रेमः,,
hate,द्वेषः,,
peace,शान्तिः,,
war,युद्धम्,,
food,आहारः,,
drink,पानम्,,
eat,खाद्,,
drink,पिबति,,
cook,पक्षि,,
bake,भव्यति,,
boil,उष्णतया पक्ति,,
fry,तलति,,
roast,भस्मीभवति,,
grill,सुदाम्यति,,
stir,अनुक्षिपति,,
mix,मिशति,,
chop,भङ्गुरतया करोति,,
cut,कृणाति,,
peel,छिनति,,
slice,विभाजति,,
spice,मसालाः,,
salt,लवणम्,,
sweet,मधुरः,,
sour,अम्लः,,
bitter,तिक्तः,,
spicy,तीक्ष्णः,,
savory,सारस्वतः,,
tasty,स्वादु,,
yummy,मधुरमिव,,
delicious,रसिक,,
healthy,आरोग्यदायी,,
nutritious,पुष्टिकरः,,
fresh,ताजः,,
ripe,पक्वः,,
raw,अज्ञः,,
cooked,पक्तः,,
fried,तलितः,,
grilled,सुदाम्यतः,,
roasted,भस्मीभवितः,,
seasoned,मसालाभिपूरितः,,
vegetable,तरकारी,,
fruit,फलम्,,
meat,मांसम्,,
chicken,कुक्कुटम्,,
beef,गोमांसम्,,
pork,सुकरम्,,
lamb,अश्विनः,,
fish,मत्स्यः,,
seafood,समुद्रजन्तुः,,
house,गृहम्,,
home,आवासः,,
apartment,अपार्टमेन्टः,,
room,कक्षः,,
bedroom,शयनकक्षः,,
living room,आवासकक्षः,,
kitchen,पाकशाला,,
bathroom,स्नानकक्षः,,
toilet,शौचालयम्,,
basement,अधोगृहः,,
attic,शिखरालयः,,
roof,छत्तः,,
wall,भित्तिः,,
door,द्वारम्,,
window,विहारः,,
floor,भूमिः,,
ceiling,छत्तः,,
furniture,फुर्नीचरम्,,
table,टेबलम्,,
chair,आसनम्,,
sofa,सोफा,,
bed,शय्या,,
wardrobe,अलमारी,,
cabinet,अलमारी,,
bookshelf,पुस्तकगृहः,,
lamp,दीपकः,,
rug,आवरणम्,,
curtain,पर्दा,,
mirror,आभासः,,
painting,चित्रम्,,
decor,अलंकारः,,
